bin,time_start,time_end,density_veh_per_mile,flow_vph,speed_mph,N_mainline,density_bin,scenario
64,3840.0,3899.9,38.590231385351814,1636.7750706923825,42.41439654748897,91.37,40.0,Medium
65,3900.0,3959.9,37.26193678420339,1625.2194166435597,43.62750636325456,88.225,40.0,Medium
66,3960.0,4019.9,35.629549301393006,1552.1931903282555,43.58042476316136,84.36,40.0,Medium
67,4020.0,4079.9,37.15282938453301,1616.9657517720989,43.50815105784102,87.96666666666667,40.0,Medium
68,4080.0,4139.9,35.782299660931535,1551.4938384668844,43.398730227572145,84.72166666666666,40.0,Medium
69,4140.0,4199.9,35.84283666978091,1544.9501379056487,43.13809425141271,84.865,40.0,Medium
70,4200.0,4259.9,35.80623289698826,1549.1116312883407,43.25299991634573,84.77833333333334,40.0,Medium
71,4260.0,4319.9,36.26448397560386,1588.7248736782515,43.809652467033644,85.86333333333333,40.0,Medium
72,4320.0,4379.9,35.642219838128916,1545.4603802287577,43.36677310514793,84.39,40.0,Medium
73,4380.0,4439.9,37.09510805051384,1586.5127634598173,42.732156666237536,87.83,40.0,Medium
74,4440.0,4499.9,36.479179181406856,1594.6769796858068,43.73457400070574,86.37166666666667,40.0,Medium
75,4500.0,4559.9,38.59656665371977,1568.7161388535744,40.646609396729794,91.385,40.0,Medium
76,4560.0,4619.9,36.9740340328151,1582.1108107565994,42.801930229417295,87.54333333333334,40.0,Medium
77,4620.0,4679.9,36.09906307932941,1583.6652557558111,43.883902125151785,85.47166666666666,40.0,Medium
78,4680.0,4739.9,35.58872201635506,1549.955399481301,43.57274277263821,84.26333333333334,40.0,Medium
79,4740.0,4799.9,37.29642880087338,1625.0169019855316,43.553478037836825,88.30666666666667,40.0,Medium
80,4800.0,4859.9,35.487357722467735,1545.6193356523272,43.570959395604,84.02333333333333,40.0,Medium
81,4860.0,4919.9,35.45145786838265,1549.0366278714434,43.729937464665234,83.93833333333333,40.0,Medium
82,4920.0,4979.9,36.14692955144287,1557.477894290813,43.066571979572586,85.585,40.0,Medium
